reference_id,site_name,url,purpose,status
REF-0001,거북이상무의 정보바다,https://m.blog.naver.com/ve1357243,애드센스 승인 사이트 구조 분석,ACTIVE
REF-0002,이과장의 경제금융이야기,https://m.blog.naver.com/loveus98,애드센스 승인 사이트 구조 분석,ACTIVE
REF-0003,GovinfoTree,https://m.blog.naver.com/infotock,애드센스 승인 사이트 구조 분석,ACTIVE
REF-0004,trendmoney,https://m.blog.naver.com/trendmoney_,애드센스 승인 사이트 구조 분석,ACTIVE
REF-0005,오히든의 1인 비즈니스,https://m.blog.naver.com/lsjis123,애드센스 승인 사이트 구조 분석,ACTIVE
